[ 2013-01-04T16:38:33+08:00 ] /ComputerAssets/index.php/User/Test2 | ERR: (ThinkException) 非法操作Test2
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009070s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.011338s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.011438s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.047740s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047852s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.005481s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.012185s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001204s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.004780s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.023924s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.001556s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.001627s ]
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:18:26+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.001443s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001546s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001154s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001235s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.001470s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.001551s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.015749s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015850s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000937s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.001078s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000794s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.001054s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004070s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.001044s ]
[ 2013-01-04T17:18:50+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.001112s ]
[ 2013-01-04T17:18:51+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:18:51+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:18:51+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:18:51+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:18:51+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:18:51+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 412 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.000903s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001004s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000588s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000659s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000433s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000514s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.008350s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008461s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000425s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000813s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000282s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000515s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002235s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000502s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000568s ]
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:18:52+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 412 行.
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.001036s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001142s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000610s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000682s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000400s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000475s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ParseTemplate Behavior [ RunTime:0.010472s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010570s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --START--
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ContentReplace Behavior [ RunTime:0.000375s ]
[ 2013-01-04T17:19:11+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run TokenBuild Behavior [ RunTime:0.000435s ]
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000260s ]
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowRuntime Behavior [ RunTime:0.000508s ]
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001757s ]
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 120 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 121 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\AppServ\www\ComputerAssets\Lib\Action\Home\UserAction.class.php:178) View.class.php 第 122 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --START--
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ShowPageTrace Behavior [ RunTime:0.000489s ]
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_end ] --END-- [ RunTime:0.000555s ]
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 315 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [8] Undefined index:  HTTP_REFERER UserAction.class.php 第 343 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2048] Only variables should be passed by reference UserAction.class.php 第 369 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fopen() expects at least 2 parameters, 1 given UserAction.class.php 第 408 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] stream_get_contents() expects parameter 1 to be resource, boolean given UserAction.class.php 第 409 行.
[ 2013-01-04T17:19:12+08:00 ] /ComputerAssets/index.php/User/Test | NOTIC: [2] fclose(): supplied argument is not a valid stream resource UserAction.class.php 第 410 行.
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --START--
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run CheckRoute Behavior [ RunTime:0.000918s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ route_check ] --END-- [ RunTime:0.001020s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --START--
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000607s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000680s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --START--
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Run LocationTemplate Behavior [ RunTime:0.000393s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_template ] --END-- [ RunTime:0.000468s ]
[ 2013-01-04T17:19:13+08:00 ] /ComputerAssets/index.php/User/Test | INFO: Tag[ view_parse ] --START--
